City,Country,Max Temp,Lat,Lng,Hotel Name
Dicabisagan,PH,24.24,17.0818,122.4157,
Lima,PE,26.61,-12.0432,-77.0282,
West Odessa,US,24.4,31.8424,-102.4988,
Bandarbeyla,SO,25.34,9.4942,50.8122,
Bosaso,SO,24.46,11.2842,49.1816,
Getulio Vargas,UY,27.85,-32.6796,-53.5494,
Iracoubo,GF,24.28,5.4802,-53.2011,
Norsup,VU,27.49,-16.0667,167.3833,
Maningrida,AU,28.38,-12.0667,134.2667,
Nuevo Progreso,MX,26.61,23.1667,-97.95,
Lagdo,CM,24.62,9.05,13.7333,
General Bravo,MX,23.34,25.8,-99.1667,
Padang,ID,24.79,-0.9492,100.3543,
Conceicao Do Araguaia,BR,28.2,-8.2578,-49.2647,
Farafangana,MG,26.3,-22.8167,47.8333,
Gunjur,GM,27.04,13.2019,-16.7339,
Maragogi,BR,27.98,-9.0122,-35.2225,
Quatre Cocos,MU,26.16,-20.2078,57.7625,
Kavieng,PG,27.81,-2.5744,150.7967,
Kisanga,TZ,25.98,-7.4362,37.7034,
Bowen,AU,24.88,-20.0167,148.2333,
Kiunga,PG,23.02,-6.1219,141.2906,
Chirongui,YT,27.96,-12.9319,45.1483,
Anloga,GH,28.36,5.7947,0.8973,
Wete,TZ,26.06,-5.0559,39.7294,
Bom Jesus,BR,29.47,-9.0744,-44.3586,
Banda Aceh,ID,24.73,5.5577,95.3222,
Aquiraz,BR,29.05,-3.9014,-38.3911,
Ugoofaaru,MV,27.15,5.6667,73.0,
Nioro,GM,29.86,13.35,-15.75,
Kuah,MY,24.99,6.3265,99.8432,
Sao Miguel Do Araguaia,BR,27.21,-13.275,-50.1628,
Boende,CD,24.93,-0.2167,20.8667,
Raga,SS,24.59,8.4596,25.678,
Bara,NG,24.11,10.3744,10.7288,
